deck,qty,name,type,cost_memory_initial_or_cost,base_value_or_dash,depth,cas_de_base,remontee,terminaison
Cyan,2,Purge Contrôlée,Commande,2,-,-,Retire jusqu'à 2 cadres parasites d'une fonction.,-,"Si aucun cadre parasite n'a été retiré, pioche 1 carte."
Cyan,2,Hotfix,Commande,3,-,-,Répare une de tes fonctions cassées.,Cette fonction revient avec son cadre initial seulement.,Sa mémoire initiale reste réservée.
Cyan,2,Pause de Sécurité,Interrupt,2,-,-,"Quand un adversaire effectue un Empiler, annule cet Empiler.",Le coût en Cycle CPU est quand même payé.,-
Cyan,2,Défragmentation,Interrupt,2,-,-,"Quand un adversaire dépile une Remontée, annule l'effet de cette Remontée.",La mémoire normalement libérée par ce cadre est quand même libérée.,-
Cyan,1,Console de Diagnostic,Hardware,2,-,-,"Une fois par tour, quand tu lances une fonction portant la mention Empiler jusqu'à X, tu peux augmenter ou réduire sa profondeur cible de 1, sans sortir de l'intervalle autorisé.",-,-
Cyan,1,ECC Mémoire,Hardware,3,-,-,"La première fois à chaque tour qu'une de tes fonctions devrait casser, annule cette casse.",Ajoute à la place 1 cadre parasite au sommet de cette fonction.,-
Cyan,1,Ordonnanceur Zen,Hardware,2,-,-,"Au début de chacun de tes tours, gagne +1 Cycle CPU.",Ce cycle supplémentaire ne peut servir qu'à Dépiler.,-
Cyan,1,Limiteur de Pile,Hardware,2,-,-,"Une fois par tour, quand une de tes fonctions devrait recevoir un 8e cadre, annule cet Empiler à la place.",-,-
Cyan,1,Sauvegarde Locale,Commande,1,-,-,Choisis une de tes fonctions actives.,"Jusqu'à la fin du tour, si elle casse, renvoie-la dans ta main à la place.",Libère toute la mémoire qu'elle occupait.
Orange,2,Greffon Glouton,Fonction,2,1,Empiler jusqu'à 3,Pioche 1 carte.,L'adversaire perd 1 mémoire libre.,Ajoute F(R) cadres parasites répartis comme tu veux entre les fonctions adverses.
Orange,2,Quicksort Agressif,Fonction,3,2,Empiler jusqu'à 4,Regarde les 2 cartes du dessus de ton deck ; mets-en 1 dans ta main et défausse l'autre.,L'adversaire perd 1 mémoire libre.,L'adversaire perd F(R) mémoire libre au début de son prochain tour.
Orange,2,Expansion Fibonacci,Fonction,3,2,Empiler jusqu'à 5,Pioche 1 carte.,Gagne 1 mémoire libre.,Gagne F(R) mémoire libre jusqu'à la fin de ton prochain tour.
Orange,2,Fonction Parasite,Fonction,2,1,Empiler jusqu'à 3,Ajoute 1 cadre parasite au sommet de cette fonction.,Déplace 1 cadre parasite de cette fonction vers une fonction adverse.,"Si cette fonction n'a plus de cadre parasite, ajoute F(R) cadres parasites répartis comme tu veux entre les fonctions adverses."
Orange,1,Bombe à Retours,Fonction,4,3,Empiler 4,Pioche 1 carte.,L'adversaire perd 1 Cycle CPU à son prochain tour.,L'adversaire perd F(R) mémoire libre au début de son prochain tour.
Orange,1,Récursion Gloutonne,Fonction,4,3,Empiler jusqu'à 6,Aucun effet.,Gagne 1 mémoire libre.,"Si R ≥ 4, marque 2 points supplémentaires."
Orange,2,Injection de Boucle,Interrupt,2,-,-,"Quand une fonction est lancée ou quand un joueur effectue un Empiler sur une fonction, ajoute immédiatement 1 cadre parasite au sommet de cette fonction.","Son contrôleur doit payer 1 mémoire libre ; sinon, cette fonction casse.",-
Orange,2,Stack Spike,Interrupt,3,-,-,"Quand une fonction contient exactement 5 ou 6 cadres, ajoute 2 cadres parasites à cette fonction.",-,-
Orange,2,Pollution de Cache,Commande,2,-,-,Choisis une fonction adverse.,Ajoute-lui 2 cadres parasites.,-
Orange,1,Rebond Infini,Interrupt,3,-,-,"Quand un adversaire devrait dépiler un cadre [0], annule le Cas de base de ce cadre.",Cette fonction casse immédiatement.,-
Orange,1,Overclocking,Hardware,2,-,-,"Au début de chacun de tes tours, gagne +1 Cycle CPU.","Si tu dépenses 5 Cycles CPU ou plus pendant ce tour, perds 1 mémoire libre à la fin du tour.",-
Orange,1,Démon du Débordement,Hardware,3,-,-,"À chaque fois qu'une fonction adverse casse à cause d'un overflow, ajoute 1 cadre parasite à une autre fonction adverse.",-,-
Orange,1,Sabotage de Collecte,Interrupt,1,-,-,"Quand un adversaire joue une carte qui nettoie ou répare, contrecarre cette carte.",-,-
Orange,2,Swap Brutal,Commande,1,-,-,Gagne 3 mémoire libre jusqu'à la fin du tour.,"À la fin du tour, si tu n'as pas terminé au moins une fonction, perds 1 mémoire totale.",-
